Cantonese (Traditional),Cantonese (Simplified),Jyutping,Yale,English 1,English 2,Tags
唔好意思,唔好意思,m4 hou2 ji3 si3,m hou yi si,excuse me / I'm sorry / embarrassed,,supplemental
係喎,系喎,hai6 wo3,hai wo,oh really / is that so,,supplemental
啱啱,啱啱,ngaam1 ngaam1,ngaam ngaam,just now / just (Cantonese),,supplemental
啱,啱,ngaam1,ngaam,correct / just right / to happen to,,supplemental
咁,咁,gam3,gam,so / like that / in this way,,supplemental
噉,噉,gam2,gam,like that / in that way (written),,supplemental
即刻,即刻,zik1 hak1,jik hak,immediately / right away,,supplemental
遲啲,迟啲,ci4 di1,chi di,later / in a while (Cantonese),,supplemental
快啲,快啲,faai3 di1,faai di,hurry up / faster,,supplemental
少少,少少,siu2 siu2,siu siu,a little bit,,supplemental
而家,而家,ji4 gaa1,yi ga,now (Cantonese),,supplemental
頭先,头先,tau4 sin1,tau sin,just now / a moment ago (Cantonese),,supplemental
琴日,琴日,kam4 jat6,kam yat,yesterday (Cantonese),,supplemental
聽日,听日,ting1 jat6,ting yat,tomorrow (Cantonese),,supplemental
後日,后日,hau6 jat6,hau yat,day after tomorrow,,supplemental
前日,前日,cin4 jat6,chin yat,day before yesterday,,supplemental
朝早,朝早,ziu1 zou2,jiu jou,morning (Cantonese),,supplemental
下晝,下昼,haa6 zau3,ha jau,afternoon (Cantonese),,supplemental
夜晚,夜晚,je6 maan5,ye maan,evening / night (Cantonese),,supplemental
啱先,啱先,ngaam1 sin1,ngaam sin,just a moment ago (Cantonese),,supplemental
點心,点心,dim2 sam1,dim sam,dim sum,,supplemental food
燒賣,烧卖,siu1 maai2,siu maai,siu mai (steamed pork dumplings),,supplemental food
蝦餃,虾饺,haa1 gaau2,ha gaau,har gow (shrimp dumplings),,supplemental food
叉燒包,叉烧包,caa1 siu1 baau1,cha siu baau,BBQ pork bun,,supplemental food
腸粉,肠粉,coeng4 fan2,cheung fan,rice noodle roll,,supplemental food
雲吞麵,云吞面,wan4 tan1 min6,wun tan min,wonton noodle soup,,supplemental food
魚蛋,鱼蛋,jyu4 daan2,yu dan,fish balls,,supplemental food
牛腩,牛腩,ngau4 naam5,ngau naam,beef brisket,,supplemental food
奶茶,奶茶,naai5 caa4,naai cha,milk tea (Hong Kong style),,supplemental food
鴛鴦,鸳鸯,jyun1 joeng1,yun yeung,yuenyeung (coffee + milk tea mix),,supplemental food
菠蘿包,菠萝包,bo1 lo4 baau1,bo lo baau,pineapple bun (no pineapple inside),,supplemental food
蛋撻,蛋挞,daan6 taat1,dan taat,egg tart,,supplemental food
凍飲,冻饮,dung3 jam2,dung yam,cold / iced drink (Cantonese),,supplemental food
熱飲,热饮,jit6 jam2,yit yam,hot drink,,supplemental food
走糖,走糖,zau2 tong4,jau tong,no sugar (ordering drinks),,supplemental food
少甜,少甜,siu2 tim4,siu tim,less sweet,,supplemental food
加冰,加冰,gaa1 bing1,ga bing,add ice,,supplemental food
走冰,走冰,zau2 bing1,jau bing,no ice,,supplemental food
一底,一底,jat1 dai2,yat dai,one portion / one plate (Cantonese),,supplemental food
打包,打包,daa2 baau1,da baau,to pack / take away / doggy bag,,supplemental food
地鐵,地铁,dei6 tit3,dei tit,MTR / subway / metro,,supplemental transport
巴士,巴士,baa1 si2,ba si,bus,,supplemental transport
的士,的士,dik1 si2,dik si,taxi (Cantonese),,supplemental transport
小巴,小巴,siu2 baa1,siu ba,minibus,,Cantonese::CantoneseClass101 supplemental transport
渡輪,渡轮,dou6 leon4,dou lun,ferry,,Cantonese::Transportation supplemental transport
電車,电车,din6 ce1,din che,tram (Hong Kong),,supplemental transport
落車,落车,lok6 ce1,lok che,to get off a vehicle,,supplemental transport
上車,上车,soeng5 ce1,sheung che,to get on a vehicle,,supplemental transport
轉車,转车,zyun3 ce1,jyun che,to transfer / change transport,,supplemental transport
出口,出口,ceot1 hau2,cheut hau,exit,,supplemental transport
入口,入口,jap6 hau2,yap hau,entrance,,supplemental transport
碼頭,码头,maa5 tau4,ma tau,pier / ferry terminal,,supplemental transport
機場,机场,gei1 coeng4,gei cheung,airport,,supplemental transport
蚊,蚊,man1,man,dollar (HK colloquial for 元/圓),,supplemental
毫子,毫子,hou4 zi2,hou ji,10 cents / dime (Cantonese),,supplemental
找錢,找钱,zaau2 cin2,jaau chin,to give change,,supplemental
收銀,收银,sau1 ngan4,sau ngan,cashier,,supplemental
八達通,八达通,baat3 daat6 tung1,baat daat tung,Octopus card (HK transit card),,supplemental
打折,打折,daa2 zit3,da jit,discount / sale,,supplemental
減價,减价,gaam2 gaa3,gaam ga,price reduction / markdown,,supplemental
試身房,试身房,si3 san1 fong2,si san fong,fitting room,,supplemental
收據,收据,sau1 geui3,sau geui,receipt,,supplemental
街市,街市,gaai1 si5,gaai si,wet market,,supplemental
超市,超市,ciu1 si5,chiu si,supermarket,,supplemental
藥房,药房,joek6 fong2,yeuk fong,pharmacy / chemist,,supplemental
茶餐廳,茶餐厅,caa4 caan1 teng1,cha chan teng,Hong Kong-style café / cha chaan teng,,supplemental
大排檔,大排档,daai6 paai4 dong3,daai paai dong,open-air food stall / dai pai dong,,supplemental
燒臘店,烧腊店,siu1 laap6 dim3,siu laap dim,roast meat shop,,supplemental
士多,士多,si6 do1,si do,convenience store (from 'store'),,supplemental
公廁,公厕,gung1 ci3,gung chi,public toilet,,supplemental
落雨,落雨,lok6 jyu5,lok yu,to rain / it's raining (Cantonese),,supplemental weather
打風,打风,daa2 fung1,da fung,typhoon / strong wind (Cantonese),,supplemental weather
天文台,天文台,tin1 man4 toi4,tin man toi,Hong Kong Observatory,,supplemental weather
八號風球,八号风球,baat3 hou6 fung1 kau4,baat hou fung kau,Typhoon Signal No. 8,,supplemental weather
濕,湿,sap1,sap,wet / humid,,supplemental weather
焗,焗,guk6,guk,stuffy / stifling hot (Cantonese),,supplemental weather
涼冷,涼冷,loeng4 laang5,leung laang,cool and cold,,supplemental weather
肚餓,肚饿,tou5 ngo6,tou ngo,hungry (Cantonese: lit. stomach hungry),,supplemental body
口渴,口渴,hau2 hot3,hau hot,thirsty,,Cantonese::CantoneseClass101 body supplemental
攰,攰,gui6,gwui,tired / exhausted (Cantonese),,supplemental body
頭痛,头痛,tau4 tung3,tau tung,headache,,supplemental body
肚痛,肚痛,tou5 tung3,tou tung,stomachache,,supplemental body
暈,晕,wan4,wan,dizzy / to faint,,supplemental body
過敏,过敏,gwo3 man5,gwo man,allergy / allergic reaction,,supplemental body
睇醫生,睇医生,tai2 ji1 sang1,tai yi sang,to see a doctor (Cantonese),,supplemental body
急症室,急症室,gap1 zing3 sat1,gap jing sat,emergency room / A&E,,supplemental body
藥,药,joek6,yeuk,medicine,,supplemental body
瞓唔著,瞓唔着,fan3 m4 zoek6,fan m jeuk,can't sleep (Cantonese),,supplemental body
個,个,go3,go,"general measure word (people, things)",,supplemental measure
條,条,tiu4,tiu,"measure: long thin objects (rope, fish, road)",,supplemental measure
張,张,zoeng1,jeung,"measure: flat objects (paper, table, ticket)",,supplemental measure
本,本,bun2,bun,measure: books,,supplemental measure
杯,杯,bui1,bui,measure: cups / glasses,,supplemental measure
碗,碗,wun2,wun,measure: bowls,,supplemental measure
碟,碟,dip6,dip,measure: plates / discs,,supplemental measure
支,支,zi1,ji,"measure: long thin items (pen, cigarette)",,supplemental measure
架,架,gaa3,ga,measure: vehicles / machines,,supplemental measure
間,间,gaan1,gaan,measure: rooms / shops / buildings,,supplemental measure
位,位,wai2,wai,measure: people (respectful),,supplemental measure
份,份,fan6,fan,measure: portions / copies,,supplemental measure
粒,粒,nap1,nap,"measure: small round objects (rice, pills, grains)",,supplemental measure
幅,幅,fuk1,fuk,measure: paintings / cloth / maps,,supplemental measure
對,对,deoi3,deui,measure: pairs,,supplemental measure
廣東話,广东话,gwong2 dung1 waa2,gwong dung wa,Cantonese language,,Cantonese::CantoneseClass101 supplemental
廣東,广东,gwong2 dung1,gwong dung,Guangdong province,,supplemental
香港,香港,hoeng1 gong2,heung gong,Hong Kong,,supplemental
九龍,九龙,gau2 lung4,gau lung,Kowloon,,supplemental
新界,新界,san1 gaai3,san gaai,New Territories,,supplemental
澳門,澳门,ou3 mun2,ou mun,Macau,,supplemental
廣州,广州,gwong2 zau1,gwong jau,Guangzhou (Canton),,supplemental
普通話,普通话,pou2 tung1 waa2,pou tung wa,Mandarin / Putonghua,,supplemental
手機,手机,sau2 gei1,sau gei,mobile phone,,supplemental tech
充電,充电,cung1 din6,chung din,to charge (a device),,supplemental tech
WiFi,WiFi,wai4 fai1,wai fai,WiFi,,supplemental tech
App,App,ep1,ep,app (mobile application),,supplemental tech
上網,上网,soeng5 mong5,sheung mong,to go online / use the internet,,supplemental tech
傳送,传送,cyun4 sung3,chyun sung,to send / transmit,,supplemental tech
截圖,截图,zit3 tou4,jit to,screenshot,,supplemental tech
直播,直播,zik6 bo3,jik bo,live stream / live broadcast,,supplemental tech
生日快樂,生日快乐,sang1 jat6 faai3 lok6,sang yat faai lok,Happy Birthday,,supplemental
新年快樂,新年快乐,san1 nin4 faai3 lok6,san nin faai lok,Happy New Year,,supplemental
恭喜發財,恭喜发财,gung1 hei2 faat3 coi4,gung hei faat choi,Wishing you prosperity (CNY greeting),,supplemental
食咗飯未,食咗饭未,sik6 zo2 faan6 mei6,sik jo faan mei,Have you eaten yet? (greeting),,supplemental
你做乜,你做乜,nei5 zou6 mat1,nei jou mat,What are you doing? (Cantonese),,supplemental
冇嘢,冇嘢,mou5 je5,mou ye,nothing / it's nothing,,supplemental
冇事,冇事,mou5 si6,mou si,nothing happened / I'm fine,,supplemental
係咁先,系咁先,hai6 gam3 sin1,hai gam sin,that's it for now / goodbye (phone/meeting),,supplemental
拜拜,拜拜,baai1 baai3,baai baai,bye bye,,supplemental
串,串,cyun3,chyun,sarcastic / to mock (Cantonese slang),,supplemental slang
核突,核突,wat6 dat6,wat dat,disgusting / gross (Cantonese),,supplemental slang
大嗌,大嗌,daai6 aai3,daai aai,to shout loudly,,supplemental slang
撚,撚,nan2,nan,(mild expletive) guy / fellow (Cantonese),,supplemental slang
閪,閪,hai1,hai,(vulgar) Cantonese expletive,,supplemental slang
屌,屌,diu2,diu,(vulgar) Cantonese expletive / damn,,supplemental slang
PK,PK,pi1 kei1,pi kei,loser / fallen over (Cantonese slang),,supplemental slang
冚家鏟,冚家铲,ham6 gaa1 caan2,ham ga chaan,(vulgar curse) Cantonese,,supplemental slang
𨳍,𨳍,cat1,chat,(vulgar) Cantonese expletive,,supplemental slang
嘩,嘩,waa3,wa,wow! / expression of surprise,,supplemental
哇,哇,waa1,wa,wow / oh! (exclamation),,supplemental
唉,唉,aai3,aai,sigh / alas,,supplemental
咦,咦,ji4,yi,huh? / expression of surprise/confusion,,supplemental
喂,喂,wai2,wai,hey! / hello (phone),,supplemental
吓,吓,haa5,ha,huh? / what? (Cantonese),,supplemental
係囉,系囉,hai6 lo3,hai lo,yeah / right / obviously,,supplemental
有冇,有冇,jau5 mou5,yau mou,have or not? / do you have...? (yes/no question),,supplemental grammar
係唔係,系唔系,hai6 m4 hai6,hai m hai,is it or not? (yes/no question pattern),,supplemental grammar
得唔得,得唔得,dak1 m4 dak1,dak m dak,can or not? / is it okay?,,supplemental grammar
好唔好,好唔好,hou2 m4 hou2,hou m hou,good or not? / okay? / how about it?,,supplemental grammar
先,先,sin1,sin,first / before doing something else,,supplemental grammar
至,至,zi3,ji,only then / until,,supplemental grammar
都,都,dou1,dou,also / all / even,,supplemental grammar
仲,仲,zung6,jung,still / even more / additionally,,supplemental grammar
咁先,咁先,gam3 sin1,gam sin,(ending) then that's it / so let's leave it there,,supplemental grammar
淨係,净系,zing6 hai6,jing hai,only / just (Cantonese),,grammar supplemental
唔通,唔通,m4 tung1,m tung,surely not? / don't tell me...,,supplemental grammar
梗係,梗系,gang2 hai6,gang hai,of course / definitely,,supplemental grammar
梗,梗,gang2,gang,definitely / certainly (Cantonese),,grammar supplemental
顧客： 好，畀呢件我啦。,顾客： 好，畀呢件我啦。,gu3 haak3 ： hou2 ， bei2 ne1 gin6 ngo5 laa1 。,gu haak hóu béi nē ginh ngóh lā,"Customer: OK, give me this one.",,Cantonese::FSI
投票,投票,tau4 piu3,tàuh piu,To vote,,
菜刀,菜刀,coi3 dou1,choi dōu,cleaver,,Food
陳小姐： 何生，早晨。,陈小姐： 何生，早晨。,can4 siu2 ze2 ： ho4 sang1 ， zou2 san4 。,chành síu jé hòh sāng jóu sành,"Ms Chan: Good morning, Mr Ho.",,Cantonese::FSI
何生： 李太，早晨。,何生： 李太，早晨。,ho4 sang1 ： lei5 taai3 ， zou2 san4 。,hòh sāng léih taai jóu sành,"Mr Ho: Good morning, Mrs Lee.",,Cantonese::FSI
陳小姐： 對唔住，我唔係李太。 我姓陳。,陈小姐： 对唔住，我唔系李太。 我姓陈。,can4 siu2 ze2 ： deoi3 m4 zyu6 ， ngo5 m4 hai6 lei5 taai3 。 ngo5 sing3 can4 。,chành síu jé deui mh jyuh ngóh mh haih léih taai ngóh sing chành,"Ms Chan: Excuse me, I am not Mrs Lee. My (sur)name is Chan.",,Cantonese::FSI
何生： 呀！對唔住，陳小姐。,何生： 呀！对唔住，陈小姐。,ho4 sang1 ： aa4 ！ deoi3 m4 zyu6 ， can4 siu2 ze2 。,hòh sāng àh deui mh jyuh chành síu jé,"Mr Ho: Oh, sorry, Miss Chan.",,Cantonese::FSI
陳小姐： 唔緊要 再見,陈小姐： 唔紧要 再见,can4 siu2 ze2 ： m4 gan2 jiu3 zoi3 gin3,chành síu jé mh gán yiu joi gin,Ms Chan: That’s alright. Goodbye,,Cantonese::FSI
何生： 再見,何生： 再见,ho4 sang1 ： zoi3 gin3,hòh sāng joi gin,Mr Ho: Goodbye,,Cantonese::FSI
劉生： 小姐，貴姓呀？,刘生： 小姐，贵姓呀？,lau4 sang1 ： siu2 ze2 ， gwai3 sing3 aa4 ？,làuh sāng síu jé gwai sing àh,"Mr Lau: What is your surname, Miss?",,Cantonese::FSI
黃小姐： 我姓黃。,黄小姐： 我姓黄。,wong4 siu2 ze2 ： ngo5 sing3 wong4 。,wòngh síu jé ngóh sing wòngh,Miss Wong: My (sur)name is Wong.,,Cantonese::FSI
劉生： 黃小姐。,刘生： 黄小姐。,lau4 sang1 ： wong4 siu2 ze2 。,làuh sāng wòngh síu jé,Mr Lau: Miss Wong.,,Cantonese::FSI
黃小姐： 先生呢？,黄小姐： 先生呢？,wong4 siu2 ze2 ： sin1 saang1 ne1 ？,wòngh síu jé sīn sāang nē,Miss Wong: And you?,,Cantonese::FSI
劉生： 小姓劉。,刘生： 小姓刘。,lau4 sang1 ： siu2 sing3 lau4 。,làuh sāng síu sing làuh,Mr Lau: My name is Lau.,,Cantonese::FSI
黃小姐： 劉生。,黄小姐： 刘生。,wong4 siu2 ze2 ： lau4 sang1 。,wòngh síu jé làuh sāng,Miss Wong: Mr Lau.,,Cantonese::FSI
劉生： 你朋友姓咩嘢呀？,刘生： 你朋友姓咩嘢呀？,lau4 sang1 ： nei5 pang4 jau5 sing3 me1 je5 aa4 ？,làuh sāng néih pàngh yáuh sing mē yéh àh,Mr Lau: What is your friend’s (sur)name?,,Cantonese::FSI
黃小姐： 佢姓馬嘅。,黄小姐： 佢姓马嘅。,wong4 siu2 ze2 ： keoi5 sing3 maa5 ge3 。,wòngh síu jé kéuih sing máh ge,Miss Wong: Her (sur)name is Ma.,,Cantonese::FSI
劉生： 佢係唔係廣東人呀？,刘生： 佢系唔系广东人呀？,lau4 sang1 ： keoi5 hai6 m4 hai6 gwong2 dung1 jan4 aa4 ？,làuh sāng kéuih haih mh haih gwóng dūng yành àh,Mr Lau: Is she Cantonese?,,Cantonese::FSI
黃小姐： 唔係呀，佢係上海人。,黄小姐： 唔系呀，佢系上海人。,wong4 siu2 ze2 ： m4 hai6 aa4 ， keoi5 hai6 soeng6 hoi2 jan4 。,wòngh síu jé mh haih àh kéuih haih seungh hói yành,"Miss Wong: No, she’s from Shanghai.",,Cantonese::FSI
劉生： 咁，你呢？,刘生： 咁，你呢？,lau4 sang1 ： gam3 ， nei5 ne1 ？,làuh sāng gam néih nē,Mr Lau: And you?,,Cantonese::FSI
黃小姐： 我都係上海人。,黄小姐： 我都系上海人。,wong4 siu2 ze2 ： ngo5 dou1 hai6 soeng6 hoi2 jan4 。,wòngh síu jé ngóh dōu haih seungh hói yành,Miss Wong: I’m also from Shanghai.,,Cantonese::FSI
黃小姐： 你知唔知佢哋講咩嘢話呀？ 係咪講國語呀？,黄小姐： 你知唔知佢哋讲咩嘢话呀？ 系咪讲国语呀？,wong4 siu2 ze2 ： nei5 zi1 m4 zi1 keoi5 dei6 gong2 me1 je5 waa6 aa4 ？ hai6 mi1 gong2 gwok3 jyu5 aa4 ？,wòngh síu jé néih jī mh jī kéuih deih góng mē yéh wah àh haih mī góng gwok yúh àh,Ms Wong: What language are they speaking? Are they speaking Mandarin?,,Cantonese::FSI
陳先生： 唔係。佢哋講上海話。,陈先生： 唔系。佢哋讲上海话。,can4 sin1 saang1 ： m4 hai6 。 keoi5 dei6 gong2 soeng6 hoi2 waa6 。,chành sīn sāang mh haih kéuih deih góng seungh hói wah,Mr Chan: No. They are speaking Shanghaiese.,,Cantonese::FSI
張小姐： 你識講上海話咩？,张小姐： 你识讲上海话咩？,zoeng1 siu2 ze2 ： nei5 sik1 gong2 soeng6 hoi2 waa6 me1 ？,jēung síu jé néih sīk góng seungh hói wah mē,Ms Cheung: You can speak Shanghaiese?,,Cantonese::FSI
陳先生： 識些少啫。,陈先生： 识些少啫。,can4 sin1 saang1 ： sik1 se1 siu2 ze1 。,chành sīn sāang sīk sē síu jē,"Mr Chan: I know a little, that’s all.",,Cantonese::FSI
黃小姐： 上海話同國語佢都識講㗎。,黄小姐： 上海话同国语佢都识讲㗎。,wong4 siu2 ze2 ： soeng6 hoi2 waa6 tung4 gwok3 jyu5 keoi5 dou1 sik1 gong2 ga3 。,wòngh síu jé seungh hói wah tùngh gwok yúh kéuih dōu sīk góng ga,Ms Wong: He speaks both Shanghaiese and Mandarin.,,Cantonese::FSI
張小姐： 噉，你識唔識英文呀？,张小姐： 噉，你识唔识英文呀？,zoeng1 siu2 ze2 ： gam2 ， nei5 sik1 m4 sik1 jing1 man4 aa4 ？,jēung síu jé gám néih sīk mh sīk yīng mành àh,"Ms Cheung: Well, do you know English?",,Cantonese::FSI
陳先生： 識講些少，但係唔識寫。,陈先生： 识讲些少，但系唔识写。,can4 sin1 saang1 ： sik1 gong2 se1 siu2 ， daan6 hai6 m4 sik1 se2 。,chành sīn sāang sīk góng sē síu daanh haih mh sīk sé,"Mr Chan: I can speak a little, but I can’t write.",,Cantonese::FSI
張小姐： 我想學啲英文。 一二三四五，英文點講呀？,张小姐： 我想学啲英文。 一二三四五，英文点讲呀？,zoeng1 siu2 ze2 ： ngo5 soeng2 hok6 di1 jing1 man4 。 jat1 ji6 saam1 sei3 ng5 ， jing1 man4 dim2 gong2 aa4 ？,jēung síu jé ngóh séung hohk dī yīng mành yāt yih sāam sei ngh yīng mành dím góng àh,Ms Cheung: I’d like to learn a little English. How do you say ’1-2-3-4-5′ in English?,,Cantonese::FSI
張小姐： 我聽唔清楚。唔該你再講一次。,张小姐： 我听唔清楚。唔该你再讲一次。,zoeng1 siu2 ze2 ： ngo5 ting3 m4 cing1 co2 。 m4 goi1 nei5 zoi3 gong2 jat1 ci3 。,jēung síu jé ngóh ting mh chīng chó mh gōi néih joi góng yāt chi,Ms Cheung: I didn’t hear clearly. Please say it once again.,,Cantonese::FSI
李先生： 百超，得未？,李先生： 百超，得未？,lei5 sin1 saang1 ： baak3 ciu1 ， dak1 mei6 ？,léih sīn sāang baak chīu dāk meih,"Mr Lee: Baak-chiu, are you ready?",,Cantonese::FSI
百超： 未呀。幾點呀？,百超： 未呀。几点呀？,baak3 ciu1 ： mei6 aa4 。 gei2 dim2 aa4 ？,baak chīu meih àh géi dím àh,Pak-Chiu: Not yet. What time is it?,,Cantonese::FSI
李先生： 而家 …一點踏一。,李先生： 而家 …一点踏一。,lei5 sin1 saang1 ： ji4 gaa1 … jat1 dim2 daap6 jat1 。,léih sīn sāang yìh gā … yāt dím daahp yāt,Mr Lee: It’s … five after one.,,Cantonese::FSI
百超： 幾點話？,百超： 几点话？,baak3 ciu1 ： gei2 dim2 waa6 ？,baak chīu géi dím wah,Pak-Chiu: What time did you say?,,Cantonese::FSI
李先生： 一點一個字。,李先生： 一点一个字。,lei5 sin1 saang1 ： jat1 dim2 jat1 go3 zi6 。,léih sīn sāang yāt dím yāt go jih,Mr Lee: It’s one-o-five.,,Cantonese::FSI
百超： 你個錶準唔準㗎？,百超： 你个表准唔准㗎？,baak3 ciu1 ： nei5 go3 biu1 zeon2 m4 zeon2 ga3 ？,baak chīu néih go bīu jéun mh jéun ga,Pak-Chiu: Is your watch accruate?,,Cantonese::FSI
李先生： 差唔多，或者快些少啦。,李先生： 差唔多，或者快些少啦。,lei5 sin1 saang1 ： caa1 m4 do1 ， waak6 ze2 faai3 se1 siu2 laa1 。,léih sīn sāang chā mh dō waahk jé faai sē síu lā,"Mr Lee: Approximately, or a little fast.",,Cantonese::FSI
百超： 噉，再等我幾分鐘添啦。,百超： 噉，再等我几分钟添啦。,baak3 ciu1 ： gam2 ， zoi3 dang2 ngo5 gei2 fan1 zung1 tim1 laa1 。,baak chīu gám joi dáng ngóh géi fān jūng tīm lā,"Pak-Chiu: Well, wait for me a few minutes more.",,Cantonese::FSI
李先生： 好，我等你啦。,李先生： 好，我等你啦。,lei5 sin1 saang1 ： hou2 ， ngo5 dang2 nei5 laa1 。,léih sīn sāang hóu ngóh dáng néih lā,"Mr Lee: Ok, I’ll wait for you.",,Cantonese::FSI
