English,Arabic,Bengali,Chinese (Traditional),Farsi,French,German,Pashto,Portuguese,Spanish,Swahili,Turkish,Ukrainian,Urdu,Part of Speech,Example sentence,Grammar explanation,
Actions speak louder than words,الأفعال أبلغ من الأقوال,কাজ কথার চেয়ে বেশি গুরুত্বপূর্ণ,行動勝於言語,عمل مهم‌تر از حرف است,les actions parlent plus que les mots,Taten sagen mehr als Worte,عمل تر خبرو مهم دی,ações falam mais que palavras,las acciones hablan más que las palabras,matendo yana nguvu kuliko maneno,lafta değil icraat,дії говорять голосніше за слова,عمل باتوں سے زیادہ اہم ہیں,idiom,"He promised to help, but actions speak louder than words.",What people do is more important than what they say.,
Actuator,مشغل ميكانيكي,অ্যাকচুয়েটর,致動器,محرک,actionneur,Aktuator,محرک,atuador,actuador,kianzishi eyleyici,привід,ایکچیویٹر,noun,The actuator controls the movement of the robotic arm.,A device that converts energy into mechanical motion.,,
Acute,حاد,তীব্র,急性的,حاد,aigu,akut,شدید,agudo,agudo,kali,dar,гострий,شدید,adjective,He felt acute pain.,Severe or intense.,
Add fuel to the fire,يزيد الطين بلة,আগুনে ঘি ঢালা,火上加油,اوضاع را بدتر کردن,jeter de l’huile sur le feu,Öl ins Feuer gießen,ستونزه زياتول,colocar lenha na fogueira,echar leña al fuego,kuongeza matatizo,ateşe körükle gitmek,підливати масла у вогонь,آگ میں گھی ڈالنا,idiom,His rude comment only added fuel to the fire.,To make a bad situation even worse.,
Adjudicate,يحكم,রায় দেওয়া,裁決,قضاوت کردن,juger,richten,فیصله کول,adjudicar,adjudicar,kutoa uamuzi,karar vermek,ухвалювати рішення,فیصلہ کرنا,verb,The court adjudicated the case.,To make a legal decision.,
Admonish,ينبه,সতর্ক করা,告誡,تذکر دادن,admonester,ermahnen,خبر دارول,admonestar,admonestar,kuonya,uyarmak,застерігати,تنبیہ کرنا,verb,He was admonished for mistakes.,To warn or scold gently.,
Adroit,ماهر,দক্ষ,熟練的,ماهر,adroit,gewandt,ماهر,hábil,diestro,stadi,becerikli,вправний,ماہر,adjective,She was adroit at negotiating complex agreements.,Skilled and clever in handling situations.,
Adversity,شدائد,দুর্যোগ,逆境,سختی,adversité,Schwierigkeit,سختي,adversidade,adversidad,majaribu,olumsuzluk,негаразди,مشکل,noun,She overcame adversity.,Difficult conditions.,
Aesthetic,جمالي,সৌন্দর্যবোধ,美學,زیبایی‌شناختی,esthétique,ästhetisch,جمالياتي,estético,estético,urembo,estetik,естетичний,جمالیاتی,adjective,The design is aesthetic.,Concerned with beauty.,
Affluent,ثري,সমৃদ্ধ,富裕的,مرفه,aisé,wohlhabend,شتمن,afluente,acomodado,tajiri,varlıklı,заможний,خوشحال,adjective,The affluent neighborhood had large homes.,Wealthy or prosperous.,
Agile,أجايل,অ্যাজাইল পদ্ধতি,敏捷開發,چابک,agile,agil,چټک پرمختګ,ágil,ágil,mbinu ya haraka,çevik,гнучкий,ایجائل,noun,The development team adopted Agile to improve collaboration.,A project management methodology emphasizing flexibility and iterative progress.,
Airplane mode,وضع الطيران,এয়ারপ্লেন মোড,飛航模式,حالت هواپیما,mode avion,Flugmodus,د الوتکې حالت,modo avião,modo avión,hali ya ndege,uçak modu,режим польоту,ایئرپلین موڈ,noun,Please switch your phone to airplane mode before takeoff.,A phone setting that disables wireless communication signals.,
Aisle,ممر,দোকানের সারির মাঝের পথ,走道,راهرو,allée,Gang,لار corredor,pasillo,njia ya kati koridorda geçit,прохід,راہداری,noun,The pasta was located in aisle seven of the supermarket.,A passage between rows of shelves or seats.,,,
Alacrity,سرعة,তৎপরতা,敏捷,چابکی,alacrité,Bereitschaft,چټکتیا,alacridade,alacridad,haraka,istekli,жвавість,تیزی,noun,He accepted with alacrity.,Prompt eagerness.,
Algorithm,خوارزمية,অ্যালগরিদম,演算法,الگوریتم,algorithme,Algorithmus,الګوريتم,algoritmo,algoritmo,algoriti,algoritma,алгоритм,الگورتھم,noun,The search engine relies on a complex algorithm.,A step-by-step computational process used to solve problems.,
All ears,مصغٍ تمامًا,মনোযোগ দিয়ে শোনা,洗耳恭聽,کاملاً گوش دادن,être tout ouïe,ganz Ohr sein,په غور اورېدل,todo ouvidos,ser todo oídos,kusikiliza kwa makini,can kulağıyla dinlemek,уважно слухати,پورے دھیان سے سننا,idiom,"If you have advice, I’m all ears.",Ready and eager to listen carefully.,
Alleviate,يخفف,কমানো,緩解,تسکین دادن,soulager,lindern,کمول,aliviar,aliviar,kupunguza,hafifletmek,полегшувати,کم کرنا,verb,The medicine alleviates pain.,To make suffering or difficulty less severe.,
Allocate,يخصص,বরাদ্দ করা,分配,اختصاص دادن,allouer,zuteilen,وېشل,alocar,asignar,kutenga,ayırmak,виділяти,مختص کرنا,verb,The manager allocated additional funds to marketing.,To distribute resources or responsibilities for a specific purpose.,
Altruistic,إيثاري,পরার্থপর,利他的,نوع‌دوست,altruiste,altruistisch,بې غرضه,altruísta,altruista,ya kujitolea,saf özlü,альтруїстичний,ایثار پسند,adjective,His altruistic actions helped many.,Selfless concern for others.,
Ambiguous,غامض,অস্পষ্ট,模糊的,مبهم,ambigu,mehrdeutig,مبهم,ambíguo,ambiguo,ya kutatanisha,belirsiz,неоднозначний,غیر واضح,adjective,The instructions were ambiguous.,Open to more than one interpretation.,
Ambivalence,تردد,দ্বিধা,矛盾心理,تردید,ambivalence,Ambivalenz,دوګونی احساس,ambivalência,ambivalencia,mashaka,ikirciklik,суперечливість,دوگانہ پن,noun,She felt ambivalence about leaving.,Mixed feelings.,
Ambivalent,متردد,দ্বিধাগ্রস্ত,矛盾的,دو دل,ambivalent,zwiespältig,دوه زړی,ambivalente,ambivalente,mwenye hisia mchanganyiko,kararsız,амбівалентний,تذبذب کا شکار,adjective,She felt ambivalent about accepting the promotion.,Having mixed or contradictory feelings about something.,
Ameliorate,يحسّن,উন্নত করা,改善,بهبود بخشیدن,améliorer,verbessern,ښه کول,ameliorar,mejorar,kuboresha,iyileştirmek,поліпшувати,بہتر بنانا,verb,The reforms helped ameliorate conditions.,To improve or make better.,
Amity,صداقة,বন্ধুত্ব,友誼,دوستی,amitié,Freundschaft,ملګرتیا,amistad,amistad,urafiki,dostluk,дружба,دوستی,noun,Amity prevailed between nations.,Friendly relations.,
Amorphous,عديم الشكل,অস্পষ্ট আকৃতির,無定形的,بی‌شکل,amorphe,formlos,بې شکل,amorfo,amorfo,isiyo na umbo,şekilsiz,аморфний,بے شکل,adjective,The idea remained amorphous.,Without clear shape or structure.,
Amortization,استهلاك,অবচয়,攤銷,استهلاک,amortissement,Abschreibung,استهلاک,amortização,amortización,urejeshaji,us amortisman,амортизація,استهلاک,noun,Amortization reduces debt.,Spreading cost over time.,
Anachronism,خطأ زمني,কালবৈষম্য,時代錯誤,زمان‌پریشی,anachronisme,Anachronismus,د وخت تېروتنه,anacronismo,anacronismo,kitu kisicho na wakati,anakronizm,анахронізм,زمانی غلط,noun,The watch is an anachronism.,Out of time period.,
Anachronistic,زمنيًّا غير مناسب,কালবৈষম্যপূর্ণ,時代錯誤的,زمان‌پریش,anachronique,anachronistisch,د وخت خلاف,anacrônico,anacrónico,ya wakati usiofaa,anakronik,анахронічний,زمانی غلط,adjective,The phone in the castle was anachronistic.,Out of its proper time period.,
Anathema,لعنة,অভিশাপ,詛咒,نفرین,anathème,Anathema,لعنت,anatema,anatematizar,laana,lanet,анафема,لعنت,noun,Corruption is anathema to democracy.,Deeply hated thing.,
Animosity,عداء,শত্রুতা,敵意,خصومت,animosité,Feindseligkeit,دښمني,animadversão,animadversión,uadui,düşmanlık,ворожнеча,دشمنی,noun,There was deep animosity.,Strong hostility.,
Annexation,ضم,সংযুক্তি,吞併,الحاق,annexion,Annexion,الحاق,anexação,anexión,nyongeza,ilhak,анексія,الحاق,noun,The annexation escalated tensions.,Forceful territorial acquisition.,
Annotate,يعلق توضيحيًا,টীকা যোগ করা,註解,یادداشت‌گذاری کردن,annoter,annotieren,یادښت لیکل,anotar,anotar,kutia maelezo,not almak,анотувати,حاشیہ لکھنا,verb,Students were asked to annotate the text while reading.,"To add notes, explanations, or comments to a text.",
Anomaly,شذوذ,অস্বাভাবিকতা,異常,ناهنجاری,anomalie,Anomalie,غیر عادي,anomalia,anomalía,ukosefu wa kawaida,anomali,аномалія,بے قاعدگی,noun,The data shows an anomaly.,A deviation from normal.,
Antagonize,يستفز,উসকানো,對抗,دشمن کردن,antagoniser,reizen,تحریکول,antagonizar,antagonizar,kuchokoza,kışkırtmak,ворожити,دشمنی پیدا کرنا,verb,He antagonized his boss.,To provoke hostility.,
Antipathy,نفور,অবিরক্তি,反感,بیزاری,antipathie,Abneigung,نفرت,antipatia,antipatía,chuki,antipati,антипатія,نفرت,noun,He felt antipathy toward it.,Strong dislike.,
Apathetic,لامبالي,উদাসীন,冷漠,بی‌تفاوت,apathique,teilnahmslos,بې پروا,apático,apático,kutojali,duygusuz,апатичний,بے حس,adjective,They were apathetic voters.,Lacking interest.,
Apathy,لا مبالاة,উদাসীনতা,冷漠,بی‌تفاوتی,apathie,Apathie,بې پروايي,apatia,apatía,kutojali,duygusuzluk,апатія,بے حسی,noun,There was public apathy.,Lack of interest or emotion.,
API,واجهة برمجة التطبيقات,এপিআই,應用程式介面,رابط برنامه‌نویسی,interface API,API,د پروګرام اړیکه,API,API,kiolesura cha programu,API,інтерфейс API,اے پی آئی,noun,The mobile app communicates with the server through an API.,A system allowing software applications to communicate with each other.,
Apocryphal,مشكوك,সন্দেহজনক,杜撰,مشکوک,apocryphe,unecht,جعلي,apócrifo,apócrifo,kutiliwa shaka,şüpheli,апокрифічний,مشکوک,adjective,An apocryphal story circulated.,Doubtful authenticity.,
App drawer,درج التطبيقات,অ্যাপ ড্রয়ার,應用程式抽屜,فهرست برنامه‌ها,tiroir d’applications,App-Übersicht,د اپونو ليست,gaveta de aplicativos,cajón de aplicaciones,droo ya programu,uygulama çekmecesi,панель застосунків,ایپ ڈراور,noun,I keep rarely used apps in the app drawer.,A screen or menu displaying all installed applications on a smartphone.,
Appeasement,استرضاء,তুষ্টিকরণ,綏靖,دلجویی,apaisement,Beschwichtigung,راضي کول,apaziguamento,apaciguamiento,uradhi yatuliza,Bastırma,умиротворення,خوشنودی,noun,Appeasement failed historically.,Concession to avoid conflict.,
Appliance,جهاز منزلي,গৃহস্থালী যন্ত্র,家電,لوازم خانگی,appareil électroménager,Haushaltsgerät,کورنی وسيله,eletrodoméstico,electrodoméstico,kifaa cha nyumbani,ev aleti,побутовий прилад,گھریلو آلہ,noun,The kitchen appliances were included with the apartment.,A machine or device used in the home.,
Appointment,موعد,অ্যাপয়েন্টমেন্ট,預約,قرار ملاقات,rendez-vous,Termin,ملاقات,compromisso,cita,miadi,randevu,зустріч,اپائنٹمنٹ,noun,I have a dentist appointment tomorrow morning.,A scheduled meeting or visit.,
Approbation,موافقة,সম্মতি,認可,تأیید,approbation,Zustimmung,منظوري,aprobación,aprobación,idhini,onay,схвалення,تصدیق,noun,He received approbation.,Approval.,
Arbiter,محكم,মধ্যস্থ,仲裁者,داور,arbitre,Schiedsrichter,فیصله کوونکی,árbitro,árbitro,msuluhishi,hakem,арбітр,منصف,noun,He acted as arbiter.,Judge or decision-maker.,
Arbitrage,مراجحة,আর্বিট্রাজ,套利,آربیتراژ,arbitrage,Arbitrage,آربیتراژ,arbitragem,arbitraje,arbitraji,arbitraj,арбітраж,آربٹریج,noun,Arbitrage created profit.,Exploiting price differences.,
Arbitrary,تعسفي,স্বেচ্ছাচারী,任意的,دل‌بخواه,arbitraire,willkürlich,خودسرانه,arbitrário,arbitrario,bila msingi,willkürlü,довільний,من مانا,adjective,The decision seemed arbitrary.,Based on random choice rather than reason.,
Arbitrate,يحكم,মধ্যস্থতা করা,仲裁,داوری کردن,arbitrer,schlichten,میانجیګري,arbitrar,arbitrar,kupatanisha,hakemlik yapmak,арбітрувати,ثالثی کرنا,verb,The court will arbitrate the dispute.,To settle a dispute.,
Arbitration,التحكيم,সালিশি,仲裁,داوری,arbitrage,Schiedsverfahren,منځګړتوب,arbitragem,arbitraje,usuluhishi,tahkim,арбітраж,ثالثی,noun,The contract requires all disputes to go through arbitration.,A legal process where disputes are resolved outside court by a neutral third party.,
Arcane,غامض,গূঢ়,神秘,رمزی,arcane,geheim,پټ,arcano,arcano,ya siri,ezoterik,арканний,پراسرار,adjective,Arcane knowledge was hidden.,Mysterious or secret.,
Arduous,شاق,কঠিন,艱鉅的,سخت,pénible,beschwerlich,ستړی کوونکی,árduo,arduo,changamoto,zor,тяжкий,مشکل,adjective,It was an arduous journey.,Extremely difficult.,
Arms embargo,حظر الأسلحة,অস্ত্র নিষেধাজ্ঞা,武器禁運,تحریم تسلیحاتی,embargo d’armes,Waffenembargo,د وسلو بندیز,embargo de armas,embargo de armas,mzuio wa silaha,Waffenembargo,ембарго на зброю,اسلحہ پابندی,noun,An arms embargo was imposed.,Weapons trade restriction.,
Articulate,فصيح,স্পষ্টভাষী,口齒清晰的,رسا,articulé,ausdrucksstark,روښانه خبرې کوونکی,articulado,articulado,mwenye ufasaha,akıcı konuşan,чіткий,واضح,adjective,She is very articulate in interviews.,Clearly expressed in speech or writing.,
Artifice,خداع,چালাকি,詭計,فریب,artifice,Trick,چالاکي,artifício,artificio,hila,kurnazlık,хитрість,چالاکی,noun,The plan involved artifice.,Clever trickery.,
Ascertain,يتأكد,নিশ্চিত করা,查明,مطمئن شدن,établir,feststellen,معلومول,averiguar,determinar,kuthibitisha,tespit etmek,встановлювати,معلوم کرنا,verb,They ascertained the truth.,To find out definitely.,
Ascetic,زاهد,তপস্বী,苦行,زاهد,ascète,asketisch,زاهد,asceta,asceta,mnyenyekevu,asket,аскетичний,زاہد,adjective,He lived an ascetic life.,Severely self-disciplined.,
Assiduous,مجتهد,পরিশ্রমী,勤勉的,کوشا,assidu,fleißig,زیارکښ,assíduo,asiduo,mwenye bidii,gayretli,старанний,محنتی,adjective,Her assiduous work impressed everyone.,Diligent and persistent.,
Assuage,يخفف,শান্ত করা,緩和,تسکین دادن,apaiser,lindern,ارامول,mitigar,mitigar,kutuliza,hafifletmek,заспокоювати,کم کرنا,verb,The apology assuaged anger.,To soothe or reduce intensity.,
At the drop of a hat,فورًا,মুহূর্তের মধ্যে,立刻,فوراً,immédiatement,sofort,سمدستي,imediatamente,de inmediato,mara moja,anında,миттєво,فوراً,idiom,She would travel at the drop of a hat if she had enough money.,Without hesitation or delay.,
At your fingertips,في متناول يدك,হাতের নাগালে,唾手可得,در دسترس,à portée de main,griffbereit,لاس ته نږدې,ao seu alcance,al alcance de la mano,mikononi mwao,elinin altında,під рукою,ہاتھ کے قریب,idiom,"With smartphones, information is always at your fingertips.",Easy to access or available immediately.,
Attachment,مرفق,সংযুক্তি,附件,پیوست,pièce jointe,Anhang,ضميمه,anexo,archivo adjunto,kiambatisho,ek dosya,вкладення,اٹیچمنٹ,noun,She forgot to include the attachment in the email.,A file added to an email or message.,
Audacious,جريء,সাহসী,大膽的,جسور,audacieux,kühn,بې باکه,audacioso,audaz,kuthubutu,cesur,сміливий,جریء,adjective,An audacious plan worked.,Daring or bold.,
Augment,يزيد,বৃদ্ধি করা,增加,افزایش دادن,augmenter,erweitern,زیاتول,aumentar,aumentar,kuongeza,artırmak,збільшувати,بڑھانا,verb,They augmented resources.,To increase.,
Austere,متقشف,সংযমী,簡樸的,ساده,austère,karg,ساده,austero,austero,ya kiasi,sade,суворий,سادہ,adjective,The room was austere and empty.,Simple and strict.,
Austerity,التقشف,কৃচ্ছ্রসাধন,緊縮,ریاضت مالی,austérité,Austerität,سخت اقتصادي سیاست,austeridade,austeridad,ukali wa matumizi,kemer sıkma,жорстка економія,سخت مالی,noun,Austerity reduced spending.,Reduced government expenditure.,
Authoritarianism,الاستبداد,স্বৈরতন্ত্র,威權主義,اقتدارگرایی,autoritarisme,Autoritarismus,استبداد,autoritarismo,autoritarismo,udikteta,otoriterlik,авторитаризм,آمریت,noun,Authoritarianism restricts freedoms.,Centralized power system.,
Autocorrect,التصحيح التلقائي,অটোকারেক্ট,自動校正,تصحیح خودکار,correction automatique,Autokorrektur,اتومات سمون,autocorreção,autocorrección,usahihishaji wa moja kwa moja,otomatik düzeltme,автовиправлення,خودکار درستگی,noun,Autocorrect changed the meaning of my message completely.,A software feature that automatically corrects spelling mistakes.,
Avarice,جشع,লোভ,貪婪,حرص,avarice,Gier,طمع,avarícia,avaricia,tamaa,açgözlülük,жадібність,لالچ,noun,Avarice drove his actions.,Greed.,
Awkward,محرج,অস্বস্তিকর,尷尬的,خجالت‌آور,maladroit,peinlich,شرموونکی,constrangedor,incómodo,aibu,garip,незручний,عجیب,adjective,The silence during dinner felt awkward.,Causing discomfort or embarrassment.,
Babysit,يرعى الأطفال,বাচ্চা দেখাশোনা করা,照顧小孩,بچه‌داری کردن,garder des enfants,babysitten,ماشوم ساتل,tomar conta de crianças,cuidar niños,kulea watoto,bebek bakıcılığı yapmak,сидіти з дітьми,بچوں کی دیکھ بھال کرنا,verb,She babysits for her neighbors on weekends.,To temporarily care for children.,
Back to square one,العودة لنقطة البداية,আবার শুরুতে ফেরা,回到原點,بازگشت به نقطه اول,retour à la case départ,zurück auf Anfang,بیا له پیله,ponto de partida,volver al inicio,kurudi mwanzo,başa dönmek,повернутися на початок,دوبارہ ابتدا پر آنا,idiom,"The deal collapsed, so we’re back to square one.",To start over again after progress has failed.,
Backchannel diplomacy,دبلوماسية سرية,গোপন কূটনীতি,秘密外交,دیپلماسی پشت‌پرده,diplomatie secrète,Geheime Diplomatie,پټه دیپلوماسي,diplomacia paralela,diplomacia secreta,diplomasia ya siri,Gizli diplomasi,таємна дипломатія,خفیہ سفارت کاری,noun,Backchannel diplomacy succeeded.,Unofficial negotiations.,
Backend,الواجهة الخلفية,ব্যাকএন্ড,後端,بک‌اند,arrière-plan,Backend,شاته برخه,back-end,backend,sehemu ya nyuma,arka uç,бекенд,بیک اینڈ,noun,She specializes in backend development and databases.,The server-side portion of a software application.,
Backpack,حقيبة ظهر,ব্যাকপ্যাক,背包,کوله‌پشتی,sac à dos,Rucksack,شا کڅوړه,mochila,mochila,mkoba wa mgongoni,sırt çantası,рюкзак,بیگ پیک,noun,She packed her books into her backpack.,A bag carried on a person’s back using shoulder straps.,
Bailout,إنقاذ مالي,বেইলআউট,紓困,نجات مالی,sauvetage,Finanzrettung,بیل آوټ,resgate,rescate,msaada wa kifedha,re kurtarma,фінансова допомога,بیل آؤٹ,noun,The bailout saved banks.,Financial rescue.,
Balance of payments,ميزان المدفوعات,লেনদেন ভারসাম্য,國際收支,تراز پرداخت‌ها,balance des paiements,Zahlungsbilanz,د تادیاتو توازن,balança de pagamentos,balanza de pagos,balance ya malipo,Z ödemeler dengesi,платіжний баланс,توازن ادائیگی,noun,Balance of payments improved.,Record of trade flows.,
Balance of power,توازن القوى,ক্ষমতার ভারসাম্য,權力平衡,توازن قوا,équilibre des puissances,Mächtegleichgewicht,د قدرت توازن,equilíbrio de poder,equilibrio de poder,uwiano wa nguvu,Güç dengesi,баланс сил,طاقت کا توازن,noun,Balance of power shifted.,Distribution of influence.,
Banal,مبتذل,নিরস,平庸,کلیشه‌ای,banal,banal,عادي,banal,banal,ya kawaida,sıradan,банальний,عام,adjective,A banal remark bored them.,Overly ordinary.,
Bandwidth,النطاق الترددي,ব্যান্ডউইথ,頻寬,پهنای باند,bande passante,Bandbreite,د شبکې ظرفیت,largura de banda,ancho de banda,upana wa data,bant genişliği,пропускна здатність,بینڈ وڈتھ,noun,Video streaming requires significant bandwidth.,The amount of data transferable over a network in a given time.,
Bargain,صفقة جيدة,সস্তা কেনাকাটা,划算交易,معامله خوب,bonne affaire,Schnäppchen,ارزانه معامله,pechincha,ganga,ofa nzuri,uygun fırsat,вигідна покупка,سستا سودا,noun,The jacket was a bargain at that price.,Something purchased for much less than usual.,
Battery percentage,نسبة البطارية,ব্যাটারির শতাংশ,電池百分比,درصد باتری,pourcentage de batterie,Akkustand,د بیټرۍ سلنه,porcentagem da bateria,porcentaje de batería,asilimia ya betri,pil yüzdesi,відсоток заряду,بیٹری فیصد,noun,My battery percentage dropped to five percent.,The remaining amount of battery power shown as a percentage.,
Battery saver,موفر البطارية,ব্যাটারি সেভার,省電模式,ذخیره باتری,mode économie d’énergie,Energiesparmodus,د بیټرۍ سپما,economia de bateria,ahorro de batería,hali ya kuokoa betri,pil tasarrufu modu,режим енергозбереження,بیٹری سیور,noun,Turn on battery saver when your charge gets low.,A phone setting that reduces power consumption.,
Beat around the bush,يدور حول الموضوع,ঘুরিয়ে কথা বলা,拐彎抹角,حاشیه رفتن,tourner autour du pot,um den heißen Brei reden,اصلي خبره نه کول,enrolar,andarse por las ramas,kuzunguka mada,lafı dolandırmak,ходити навколо теми,گھما پھرا کر بات کرنا,idiom,Stop beating around the bush and tell me what happened.,To avoid speaking directly about something.,
Behemoth,وحش ضخم,বিশাল সত্তা,巨獸,هیولا,béhémoth,Ungetüm,ستر,bemote,bestia gigantesca,kiumbe kikubwa,devasa yaratık,бегемот,بہت بڑا,noun,A corporate behemoth emerged.,Enormous entity.,
Belie,ينفي,অস্বীকার করা,掩蓋,نقض کردن,démentir,widersprechen,نفی کول,desmentir,contradecir,kupinga,wermek,спростовувати,جھٹلانا,verb,His smile belied his sadness.,To contradict or misrepresent.,
Bellicose,حربي,যুদ্ধপ্রবণ,好戰,جنگ‌طلب,belliqueux,kriegerisch,جګړه خوښ,belicose,belicose,mpiganaji,savaşçı,войовничий,جنگجو,adjective,A bellicose leader emerged.,Warlike.,
Belligerent,عدواني,আক্রমণাত্মক,好戰的,جنگجو,belliqueux,kriegerisch,جګړه خوښ,beligerante,beligerante,ya uchokozi,saldırgan,войовничий,جارحانہ,adjective,The belligerent tone escalated the argument.,Aggressive or hostile in manner.,
Benchmark,معيار,মানদণ্ড,基準,معیار,benchmark,Richtwert,معیار,referência,indicador,kigezo,kıstas,бенчмарк,معیار,noun,We set a performance benchmark.,Standard for comparison.,
Bend over backwards,يبذل قصارى جهده,অত্যন্ত চেষ্টা করা,竭盡全力,از خود گذشتگی کردن,se plier en quatre,sich große Mühe geben,ډېره هڅه کول,se esforçar muito,hacer todo lo posible,kujitahidi sana,elinden geleni yapmak,дуже старатися,بہت زیادہ کوشش کرنا,idiom,My parents bent over backwards to help me succeed.,To make an extreme effort to help or please someone.,
Benevolent,خيّر,দয়ালু,仁慈的,نیکوکار,bienveillant,wohlwollend,مهربان,benevolente,benevolente,mwenye wema,iyiliksever,доброзичливий,مہربان,adjective,A benevolent man donated money.,Kind and charitable.,
Benign,حميد,সৌম্য,良性的,خوش‌خیم,bénin,harmlos,بې ضرر,benigno,benigno,isiyo na madhara,iyi huylu,доброякісний,خوش خیم,adjective,The tumor was benign and not dangerous.,Harmless or not harmful in effect.,
Better late than never,التأخر خير من عدم المجيء,দেরিতে হলেও ভালো,遲到總比不到好,دیر رسیدن بهتر از هرگز نرسیدن,vaut mieux tard que jamais,besser spät als nie,ناوخته ښه ده له هېڅ نه,antes tarde do que nunca,más vale tarde que nunca,heri kuchelewa kuliko kutofika,geç olsun güç olmasın,краще пізно ніж ніколи,دیر آئے درست آئے,idiom,He finally apologized — better late than never.,It is preferable to do something late than not at all.,
Bibliophile,محب للكتب,বইপ্রেমী,愛書者,کتاب‌دوست,bibliophile,Bücherliebhaber,د کتابونو مينه وال,bibliófilo,bibliófilo,mpenda vitabu,kitapsever,бібліофіл,کتاب دوست,noun,The small apartment was filled with novels because she was a bibliophile.,A person who loves or collects books.,
Bicameralism,نظام المجلسين,দ্বিকক্ষীয় ব্যবস্থা,兩院制,دو مجلسی,bicamérisme,Bikameralismus,دوه مجلسي نظام,bicameralismo,bicameralismo,bunge mbili,Zweikammersystem,двопалатність,دو ایوانی,noun,Bicameralism balances power.,Two-house legislature.,
Bifurcate,يتشعب,দ্বিখণ্ডিত করা,分叉,دوشاخه شدن,bifurquer,gabeln,وېشل,bifurcar,bifurcar,kugawanyika,çatallanmak,розгалужуватися,دو شاخہ ہونا,verb,The road bifurcates ahead.,Split into two.,
